Reference,Title,Country
AU200045237,A message processing system,AU
AU2001255422,Gains quantization for a CLEP speech coder,AU
AU2001277047,Using embedded data with file sharing,AU
AU2001277147,Authentication watermarks for printed objects and related applications,AU
AU200143909,Improvements related to telecoms,AU
AU2004231226,Methods and apparatus for conducting electronic transactions,AU
AU2006229744,EMULATION OF FILM IMAGE'S TONESCALE AND COLOR,AU
AU2006295191,System and method for transferring multiple data channels,AU
AU2008299883,PROCESSING OF GESTURE-BASED USER INTERACTIONS,AU
AU2008310218,"Load Balancing and Admission Scheduling in Pull-Based Parallel Video Servers
",AU
AU2009200468,Methods and systems for controlling computers or linking to internet resources from physical and electronic objects,AU
AU2009225859,Redundant Data Forwarding Storage,AU
AU2009240392,Real-time communications over data forwarding framework,AU
AU2009244352,Deletion in data file forwarding framework,AU
AU2009268716,Advertisement forwarding storage and retrieval network,AU
AU2009268792,Media delivery in data forwarding storage network,AU
AU2009276965,Multi-homed data forwarding storage,AU
AU2009296490,Rotating encryption in data forwarding storage,AU
AU2009296496,Geolocation assisted data forwarding storage,AU
AU2009296500,Measurement in data forwarding storage,AU
AU2009296744,Selective data forwarding storage,AU
AU2011250840,Internet facilitation of fraud services,AU
AU3382599,Method And System For Estimating The Ability Of A Subscriber Loop To Support Broadband Services,AU
AU35234/00,Methods and apparatus for authenticating the download of information onto a smart card,AU
AU5281698,Image handling method and systems incorporating coded instructions,AU
AU729863,Interactive web book system,AU
AU741906,Invisible digital watermarks,AU
AU747372,Multiple watermarking techniques,AU
AU757557,FILE TRANSFER SYSTEM,AU
AU761566,Digital watermarking and banknotes ,AU
AU775976,Methods and apparatus for conducting electronic transactions,AU
AU8783398,Adaptive media control,AU
BR0110831,Gains quantization for a CLEP speech coder,BR
BR0203479,Meta-document management system with user definable personalities,BR
BRPI0507130,System for Delivering and Enabling Interactivity with Images,BR
BRPI0507131,System for delivering and enabling interactivity with images,BR
BRPI0602443,Predictor Of Data Transfer Capacity,BR
CA2192102,IMAGE RENDERING SYSTEM AND METHOD FOR GENERATING STOCHASTIC THRESHOLD ARRAY(S) FOR USE THEREWITH,CA
CA2203577,Method for dynamic allocation of voice and image compression,CA
CA2212505,"Helmet mounted, laser detection system",CA
CA2212549,Modular integrated wire harness for manportable applications,CA
CA2217037,A System And Method For Providing Portable Telephone Number Service,CA
CA2218957,Steganography systems,CA
CA2219344,METHOD FOR GRANTING AUTHORIZED USERS TO ACCESS A COMPUTER SYSTEM,CA
CA2224457,PROTECTING CONFIDENTIAL INFORMATION IN A DATABASE FOR ENABLING TARGETED ADVERTISING IN A COMMUNICATIONS NETWORK,CA
CA2229648,METHOD AND APPARATUS FOR STRIPING DATA AND FOR ADDING/REMOVING DISKS IN A RAID STORAGE SYSTEM,CA
CA2234887,Quality degradation through compression/decompression,CA
CA2236184,NETWORK-BASED DETERMINATION OF COST-EFFECTIVE ACCESS,CA
CA2236227,Custom character-coding compression for encoding and watermarking media content,CA
CA2239684,Method and apparatus for interactively creating new arrangements for musical compositions,CA
CA2241273,LOCATION-DEPENDENT SERVICES IN A MOBILE COMMUNICATION SYSTEM,CA
CA2241816,PORTABLE HAND-HELD READING DEVICE,CA
CA2242596,System for controlling access and distribution of digital property,CA
CA2242759,System And Method For Processing International Telephone Numbers,CA
CA2242895,System And Method For Integrating Iscp And Internet Services,CA
CA2247890,Hybrid analog/digital method and apparatus for controlling the transmission power level of a radio tranceiver,CA
CA2252473,Integrated Telecommunication System Architecture For Wireless And Wireline Access Featuring PACS Radio Technology,CA
CA2256429,RESOURCE ALLOCATION MECHANISM IN PACKET RADIO NETWORK                                                    ,CA
CA2257939,Managing Feature Interactions In A Telecommunications System Such As An Intelligent Network,CA
CA2260158,SYSTEM AND METHOD FOR PROVIDING CUSTOMER CONTACT SERVICES THROUGH A CUSTOMER CONTACT SERVICES NODE/INTERNET GATEWAY,CA
CA2268333,Facsimile to e-mail communication system with local interface,CA
CA2269603,INTERACTIVE WEB BOOK SYSTEM,CA
CA2274190,Method and system for using a communication network to supply targeted streaming advertising in interactive media,CA
CA2275961,METHOD AND SYSTEM FOR PROVIDING INTERACTIVE LOOK-AND-FEEL IN A DIGITAL BROADCAST VIA AN X-Y PROTOCOL,CA
CA2283851,SYSTEM AND METHOD  FOR PROVIDING LOCAL NUMBER PORTABILITY SERVICE,CA
CA2287823,High resolution access control,CA
CA2291192,System and method for equalizing delay in a dynamic packet switching network,CA
CA2293239,Adaptive allocation for variable bandwidth multicarrier communication,CA
CA2294948,METHOD AND SYSTEM FOR ENCODING DATA IN THE HORIZONTAL OVERSCAN PORTION OF A VIDEO SIGNAL,CA
CA2297784,Electronic image processing system,CA
CA2300157,ADAPTIVE MEDIA CONTROL,CA
CA2303548,Three dimensional animation system and method,CA
CA2304560,Mobile biometric identification system,CA
CA2304634,Stand-alone biometric identification system,CA
CA2306255,Splitterless multicarrier modem,CA
CA2307484,PREDICTIVE MODELING OF CONSUMER FINANCIAL BEHAVIOR,CA
CA2309660,FILE TRANSFER SYSTEM,CA
CA2310295,MULTIPLE MATCH DETECTION CIRCUIT AND METHOD,CA
CA2310783,PCS-to-mobile IP internetworking,CA
CA2312337,Precision deep input guide clip for document scanners and document scanners incorporating same,CA
CA2312491,Method And Apparatus For Variable Bit Rate Clock Recovery,CA
CA2318564,Multiple watermarking techniques,CA
CA2319519,METHOD AND SYSTEM FOR NAVIGATING THROUGH CONTENT IN AN ORGANIZED AND CATEGORIZED FASHION,CA
CA2319805,Connection set-up and path assignment in wavelength division multiplexed ring networks,CA
CA2326565,Digital watermarking and banknotes,CA
CA2328216,Method And System For Estimating The Ability Of A Subscriber Loop To Support Broadband Services,CA
CA2331462,Method and apparatus for automated time domain monitoring in optical networks,CA
CA2335881,STORED VALUE TRANSACTION SYSTEM INCLUDING AN INTEGRATED DATABASE SERVER,CA
CA2336118,"Portable computing, communication and entertainment device with central processor carried in a detachable handset",CA
