patent_id	patent_title	assigneeOriginal	filingDate	publicationDate	grantDate
US20020026408	Method and apparatus for enrolling with multiple request for quote providers	O'malley Anne,Stefan Teodosic,Dennis Tze,Eve Reiter,Pragnesh Ray	2001-08-22	2002-02-28	
US20030012548	WATERMARK AND FINGERPRINT SYSTEMS FOR MEDIA	Levy Kenneth L.,Rhoads Geoffrey B.,Stager Reed R.,Perry Burt W.,Decker Stephen K.,Hannigan Brett T.,Seder Phillip Andrew,Aggson Cynthia K.	2001-12-21	2003-01-16	
US20030120601	DYNAMIC EVALUATION OF ACCESS RIGHTS	SecretSEAL Inc	2002-04-22	2003-06-26	
US20030144907	System and method for administering incentive offers	American Express Travel Related Services Co Inc	2003-02-03	2003-07-31	
US20040010449	SYSTEM AND METHOD FOR SELECTING LOAD OPTIONS FOR USE IN RADIO FREQUENCY IDENTIFICATION IN CONTACT AND CONTACTLESS TRANSACTIONS	American Express Travel Related Services Co Inc	2002-12-13	2004-01-15	
US20040017404	Visual navigation of virtual environments through logical processes	Vergics Corp	2003-04-30	2004-01-29	
US20040046774	Image management system and methods using digital watermarks	Digimarc Corp	2003-04-25	2004-03-11	
US20050111047	Printer driver separately applying watermark and information	Rhoads Geoffrey B.	2004-03-02	2005-05-26	
US20050131863	Reception of Spatial-To-Temporal Translated Data	W. Daniel Hillis,Jung Edward K.,Myhrvold Nathan P.,Wood Lowell L.Jr.	2003-12-11	2005-06-16	
US20050132149	Spatial-To-Temporal Data Translation and Scheduling and Control 	W. Daniel Hillis,Jung Edward K.Y.,Myhrvold Nathan P.,Wood Lowell L.Jr.	2003-12-11	2005-06-16	
US20050132415	Spatial-To-Temporal Data Translation and Transmission 	Hillis W. D.,Jung Edward K.,Myhrvold Nathan P.,Wood Lowell L.Jr.	2003-12-11	2005-06-16	
US20050167572	Photo-Detector Array with Charge Pump and Charge Counter	Jung Edward K.Y.,Wood Lowell L.Jr.	2004-01-30	2005-08-04	
US20050177503	Pay yourself first loyalty system and method	American Express Travel Related Services Co Inc	2004-05-24	2005-08-11	
US20050210118	METHOD AND APPARATUS FOR COMPUTING WITHIN A WIDE AREA NETWORK	G&H NEVADA-TEK	2005-03-14	2005-09-22	
US20050210125	Mobile cache for dynamically composing user-specific information	Verizon Laboratories Inc	2005-05-19	2005-09-22	
US20050256750	Ticket tracking and refunding system and method	American Express Travel Related Services Co Inc	2005-08-04	2005-11-17	
US20050285861	Detail-in-context lenses for navigation	IDELIX Software Inc	2005-06-23	2005-12-29	
US20060012081	Custom Prototyping 	Bran Ferren,Jung Edward K,Tegreene Clarence T	2004-07-16	2006-01-19	
US20060026626	Cue-Aware Privacy Filter for Participants in Persistent Communications	Malamud Mark A,Allen Paul G,Levien Royce A,Rinaldo John D Jr,Jung Edward K	2004-07-30	2006-02-02	
US20060031252	Personalized Prototyping	Bran Ferren,Jung Edward K,Tegreene Clarence T	2004-07-16	2006-02-09	
US20060056729	Fourier Domain Camera	Hillis W D,Myhrvold Nathan P,Wood Lowell L Jr	2004-09-15	2006-03-16	
US20060059028	Context search system	Asset Trust Inc	2005-10-28	2006-03-16	
US20060075344	Providing Assistance	Searete LLC	2004-09-30	2006-04-06	
US20060081695	Enhanced User Assistance	Searete LLC	2004-10-26	2006-04-20	
US20060090038	Auto Purge of Serial Use Devices	Jung Edward K,Levien Royce A,Malamud Mark A,Rinaldo John D Jr	2004-10-26	2006-04-27	
US20060114920	Status Indicator for Communication Systems	Jung Edward K,Levien Royce A,Lord Robert W,Malamud Mark A,Rinaldo John D Jr	2004-12-01	2006-06-01	
US20060116979	Enhanced User Assistance	Jung Edward K,Levien Royce A,Malamud Mark A,Rinaldo John D Jr	2004-12-01	2006-06-01	
US20060143132	Method and apparatus to enable a market in used digital content	Valenti William L,Flinchem Edward P	2005-11-21	2006-06-29	
US20060167709	Managing a Limited-Use Electronic Mail Account	Searete LLC	2005-04-15	2006-07-27	
US20060167720	Incentive Programs for Healthcare Cards	American Express Travel Related Services Co Inc	2005-12-29	2006-07-27	
US20060168050	Interface for Creation of Limited-Use Electronic Mail Accounts	Searete LLC	2005-03-22	2006-07-27	
US20060168051	Limited-Use Instant Messaging Accounts	Searete LLC	2005-04-20	2006-07-27	
US20060174204	Shared Image Device Resolution Transformation	Searete LLC	2005-05-13	2006-08-03	
US20060200425	Single sign-on for access to a central data repository 	Enfotrust Networks Inc	2006-01-06	2006-09-07	
US20060206817	User Assistance for a Condition	Jung Edward K,Levien Royce A,Malamud Mark A,Rinaldo John D Jr	2005-02-28	2006-09-14	
US20060209711	Capacity management system for passive optical networks	Telcordia Technologies Inc	2006-01-26	2006-09-21	
US20060229904	MUSIC DISTRIBUTION SYSTEMS	Ochoa Optics LLC	2006-06-07	2006-10-12	
