patent_id	patent_title	assigneeOriginal	filingDate	publicationDate	grantDate
US5710720	PHASE LOCK LOOP BASED SYSTEM AND METHOD FOR DECOMPOSING AND TRACKING DECOMPOSED FREQUENCY COMPONENTS OF A SIGNAL WITH APPLICATION TO VIBRATION COMPENSATION SYSTEM	University of Nebraska	1996-08-01	1998-01-20	1998-01-20
US5742076	Silicon carbide switching devices having near ideal breakdown voltage capability and ultralow on-state resistance	North Carolina State University	1996-06-05	1998-04-21	1998-04-21
US5754468	COMPACT MULTIPORT STATIC RANDOM ACCESS MEMORY CELL	Simon Fraser University	1996-06-26	1998-05-19	1998-05-19
US5793871	Optical encryption interface	California Institute of Technology 	1996-11-26	1998-08-11	1998-08-11
US5796207	ORIENTED PIEZO ELECTRIC CERAMICS AND CERAMIC/POLYMER COMPOSITES	Rutgers State University of New Jersey	1997-04-28	1998-08-18	1998-08-18
US5818149	CERAMIC COMPOSITES AND METHODS FOR PRODUCING SAME	Rutgers State University of New Jersey	1996-03-25	1998-10-06	1998-10-06
US5842199	SYSTEM, METHOD, AND ARTICLE OF MANUFACTURE FOR USING RECEIVER OPERATING CURVES TO EVALUATE PREDICTIVE UTILITY	University of Minnesota	1996-10-18	1998-11-24	1998-11-24
US5877890	OPTICAL-FIBER AMPLIFIER HAVING HIGH-SATURATION OUTPUT	Rutgers State University of New Jersey	1996-10-30	1999-03-02	1999-03-02
US5886898	COMPUTER ASSISTED METHOD FOR CONDUCTING LIBRARY RESEARCH FROM A REMOTE LOCATION AND ASSOCIATED APPARATUS 	Johns Hopkins University	1997-04-11	1999-03-23	1999-03-23
US5889313	THREE-DIMENSIONAL ARCHITECTURE FOR SOLID STATE RADIATION DETECTORS	University of Hawaii	1997-02-07	1999-03-30	1999-03-30
US5889989	UTILITARIAN COMBINATION UTENSIL	Research Foundation of State University of New York	1996-09-16	1999-03-30	1999-03-30
US5890110	VARIABLE DIMENSION VENTOR QUANTIZATION	University of California	1995-03-27	1999-03-30	1999-03-30
US5933608	MULTIWAY SIGNAL SWITCHING DEVICE INCLUDING A WSIC AND OPTICAL COMMUNICATION PORTS 	City University of London	1992-06-15	1999-08-03	1999-08-03
US5937102	Image reconstruction	California Institute of Technology 	1996-10-09	1999-08-10	1999-08-10
US5945950	STACKED MICROSTRIP ANTENNA FOR WIRELESS COMMUNICATION	Arizona State University	1996-10-18	1999-08-31	1999-08-31
US5963658	METHOD AND APPARATUS FOR DETECTING AN ABNORMALITY WITHIN A HOST MEDIUM	University of North Carolina	1997-01-27	1999-10-05	1999-10-05
US5982954	OPTICAL FIELD PROPAGATION BETWEEN TILTED OR OFFSET PLANES	University Technology Corp	1997-10-21	1999-11-09	1999-11-09
US5986808	Surface-plasmon-wave-coupled tunable filter	California Institute of Technology 	1997-10-10	1999-11-16	1999-11-16
US5995556	FRONT END FOR GPS RECEIVERS	California Institute of Technology 	1990-06-06	1999-11-30	1999-11-30
US5997795	PROCESSES FOR FORMING PHOTONIC BANDGAP STRUCTURES	Rutgers State University of New Jersey	1998-05-29	1999-12-07	1999-12-07
US6009077	FLOW ADMISSION CONTROL FOR A ROUTER	University of Massachusetts (UMass)	1997-04-08	1999-12-28	1999-12-28
US6016475	SYSTEM, METHOD, AND ARTICLE OF MANUFACTURE FOR GENERATING IMPLICIT RATINGS BASED ON RECEIVER OPERATING CURVES	University of Minnesota	1996-10-08	2000-01-18	2000-01-18
